2020-09-03 14:30:47:390 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:32:25:191 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:48:19:481 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:48:22:344 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:48:34:471 DEBUG : **** Inside facebookRedirectionURL() **** 
2020-09-03 14:49:40:934 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:49:52:374 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:50:59:464 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:53:25:164 DEBUG : **** Inside googleRedirectionURL() **** 
2020-09-03 14:53:31:408 DEBUG : **** Inside googleURLHandler() **** 
2020-09-03 14:53:45:061 DEBUG : **** Inside setUserData() **** 
2020-09-03 14:53:48:752 DEBUG : **** Inside openConnection() **** 
2020-09-03 14:53:52:289 DEBUG : **** Inside getProperty() **** 
2020-09-03 14:55:01:770 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:55:30:912 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:58:18:869 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 14:59:15:982 DEBUG : **** Inside googleURLHandler() **** 
2020-09-03 14:59:16:578 DEBUG : **** Inside setUserData() **** 
2020-09-03 14:59:29:025 DEBUG : **** Inside openConnection() **** 
2020-09-03 14:59:31:879 DEBUG : **** Inside getProperty() **** 
2020-09-03 20:54:12:907 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 20:56:17:785 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 20:56:29:632 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 20:56:54:787 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 20:57:18:967 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 20:59:58:995 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 21:00:12:499 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-03 21:03:35:686 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
